track_id,duration,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,release_year
5LXj9Ch3O9ATm1NoHT8GXn,355172,50,0.513,0.683,5,-6.185,1,0.032,0.339,0.739,0.0871,0.153,120.056,5.919533333333334,2017
0fQuzbQNLcD1ofo7B2NcFI,246000,57,0.482,0.573,11,-7.966,1,0.028,0.00376,0.077,0.123,0.184,119.991,4.1,2014
4HXOBjwv2RnLpGG4xWOO6N,239215,70,0.42,0.69,9,-6.221,0,0.0347,0.00385,0.015,0.287,0.237,85.014,3.9869166666666667,2011
5qfZRNjt2TkHEL12r3sDEU,282693,69,0.534,0.445,4,-9.155,1,0.0292,0.456,0.0684,0.112,0.136,146.107,4.71155,2015
1STAWoWHYJh2UVUx41pYMD,236213,52,0.359,0.779,7,-7.52,1,0.0412,0.0057,0.837,0.379,0.582,86.951,3.9368833333333333,2008
44LVgFZvUcBYo98vy71tvd,380946,59,0.377,0.33,3,-11.119,1,0.0305,0.911,0.016,0.098,0.0442,115.995,6.3491,2005
0FMjqbY3aWo1QDbo3GwXib,216626,65,0.495,0.502,5,-9.307,1,0.0259,0.0127,0.689,0.068,0.0394,97.546,3.6104333333333334,2014
4Tw9JYF9HOuPRyccNWMgwf,262880,63,0.5,0.844,10,-5.883,1,0.0368,0.0228,0.00398,0.455,0.445,123.721,4.381333333333333,2005
4wzt5Rrk3W98pHXAqutuJw,311291,64,0.415,0.554,7,-10.839,0,0.0334,0.00541,0.00202,0.155,0.163,120.318,5.188183333333333,2005
6f49kbOuQSOsStBpyGvQfA,223773,68,0.449,0.92,11,-4.982,1,0.0737,0.0021,0.0167,0.334,0.0772,122.984,3.72955,2015
77yuzxCS3csrgTPSW0pvyk,323480,62,0.371,0.216,10,-14.727,1,0.0358,0.911,0.826,0.0934,0.0645,136.998,5.391333333333334,2014
7H7NI75DdeaOW7c70oYtjM,245099,53,0.472,0.909,9,-7.073,1,0.0391,0.00158,5.16e-05,0.248,0.278,131.051,4.084983333333334,2008
6c6W25YoDGjTq3qSPOga5t,228373,61,0.688,0.705,6,-7.311,1,0.0323,0.0647,0.124,0.118,0.696,112.019,3.806216666666667,2014
2QhURnm7mQDxBb5jWkbDug,136866,71,0.602,0.612,0,-8.409,1,0.0335,0.206,0.00607,0.107,0.453,122.062,2.2811,2000
4hf0hL4kWyjWztZzVsM39V,297306,65,0.611,0.556,9,-5.761,1,0.0288,0.175,7.14e-05,0.0359,0.252,126.532,4.9551,2002
1byIZa6CFerX5WXShwqAvf,235342,57,0.35,0.572,5,-8.399,1,0.0253,0.0222,0.0214,0.146,0.109,93.013,3.9223666666666666,2014
0qksx8mV28lztYIZ1om8ml,304200,67,0.396,0.803,4,-6.186,1,0.0487,0.0334,0.0,0.0688,0.286,116.705,5.07,2000
1uKzAldJYlwje9HstlwTie,171373,63,0.369,0.295,4,-12.779,1,0.0351,0.657,1.54e-05,0.107,0.211,92.226,2.8562166666666666,1999
1ZqHjApl3pfzwjweTfMi0g,222653,66,0.33,0.58,1,-7.875,0,0.0374,0.0614,0.00129,0.115,0.11,76.093,3.7108833333333333,2008
4bPkBHKLKd9WHizsvM2zV3,331133,63,0.532,0.433,3,-9.423,1,0.0278,0.0942,0.0121,0.142,0.0395,140.666,5.518883333333333,2002
2dphvmoLEXdk8hOYxmHlI3,249666,57,0.378,0.663,1,-10.476,1,0.0458,0.00722,0.797,0.191,0.428,173.136,4.1611,2008
6hFi0gXP8KItwMqfBgf44b,253227,62,0.317,0.373,8,-9.603,1,0.0326,0.369,0.0,0.0827,0.167,87.675,4.22045,2019
62yJjFtgkhUrXktIoSjgP2,186813,80,0.448,0.784,9,-3.686,1,0.0627,0.106,0.000108,0.668,0.236,136.245,3.11355,2012
2FY7b99s15jUprqC0M5NCT,189466,82,0.704,0.611,2,-6.112,1,0.0409,0.217,0.0,0.0812,0.22,100.0,3.157766666666667,2018
6Tvzf3VEi16JMhAgOwdt2y,219440,72,0.649,0.517,1,-7.428,0,0.0297,0.0146,1.63e-06,0.145,0.35,119.997,3.6573333333333333,2018
5qaEfEh1AtSdrdrByCP7qR,177506,84,0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.269,0.428,89.938,2.9584333333333332,2012
6Qn5zhYkTa37e91HC1D7lb,201240,81,0.672,0.655,10,-5.021,0,0.0311,0.0362,0.0,0.117,0.556,134.945,3.354,2017
1sWeSMifj6Z6kZyI6z3bRc,171040,74,0.365,0.851,4,-6.238,0,0.0645,0.0964,0.003,0.237,0.309,78.086,2.8506666666666667,2015
4dASQiO1Eoo3RJvt74FtXB,243490,77,0.502,0.786,9,-4.378,0,0.317,0.255,0.0,0.65,0.739,169.021,4.058166666666667,2016
0TvQLMecTE8utzoNmvXRbK,211933,76,0.652,0.802,7,-6.114,1,0.181,0.0871,6.45e-06,0.148,0.295,170.157,3.532216666666667,2014
1u8c2t2Cy7UBoG4ArRcF5g,231826,85,0.76,0.703,5,-5.412,1,0.054,0.103,0.0,0.0913,0.57,95.997,3.863766666666667,2014
1P17dC1amhFzptugyAO7Il,211853,79,0.766,0.709,9,-6.471,0,0.123,0.204,1.41e-05,0.126,0.506,128.07,3.530883333333333,2017
04S1pkp1VaIqjg8zZqknR5,352200,76,0.535,0.618,8,-3.913,1,0.0273,0.0716,0.000388,0.169,0.228,81.975,5.87,2010
5l6GqSxplqnZbLg0LTPQeG,293040,70,0.517,0.606,2,-5.797,1,0.0289,0.0202,0.0,0.324,0.296,141.929,4.884,2010
6NFyWDv5CjfwuzoCkw47Xf,232253,79,0.75,0.404,9,-10.178,0,0.0682,0.216,0.000357,0.0911,0.0499,95.045,3.8708833333333335,2017
3RaT22zZsxVYxxKR7TAaYF,215626,68,0.546,0.613,7,-7.589,0,0.0264,0.418,0.0,0.103,0.535,79.015,3.5937666666666668,2020
0qUnBLZ8bJqUNEeQgayL9t,235800,69,0.553,0.841,7,-6.937,1,0.0396,0.000743,1.19e-05,0.341,0.338,92.008,3.93,2014
4pvb0WLRcMtbPGmtejJJ6y,285634,79,0.298,0.38,6,-8.426,1,0.0287,0.778,5.62e-05,0.11,0.152,75.602,4.760566666666667,2020
3rWDp9tBPQR9z6U5YyRSK4,174782,90,0.643,0.363,0,-11.738,1,0.0767,0.69,5.17e-05,0.115,0.23,139.865,2.9130333333333334,2022
5pyoxDZ1PX0KxBxiRVxA4U,278281,79,0.693,0.887,1,-5.039,0,0.0795,0.0581,2.71e-06,0.27,0.864,114.942,4.638016666666666,2022
4JehYebiI9JE8sR8MisGVb,261640,75,0.508,0.72,11,-5.908,0,0.0628,0.272,0.0,0.0563,0.472,79.983,4.360666666666667,2008
0314PeD1sQNonfVWix3B2K,116727,76,0.903,0.519,1,-9.151,1,0.26,0.281,0.000106,0.155,0.587,114.991,1.94545,2022
6g0Orsxv6glTJCt4cHsRsQ,206080,71,0.896,0.621,5,-6.857,0,0.237,0.00532,0.0,0.196,0.818,121.966,3.4346666666666668,2016
7lUA4P03AhwAw40JHkdyGr,257653,63,0.512,0.624,11,-6.761,1,0.0509,0.00305,0.000172,0.346,0.2,129.932,4.294216666666666,2014
1uXbwHHfgsXcUKfSZw5ZJ0,236093,72,0.732,0.899,0,-4.237,1,0.143,0.00496,4.64e-05,0.372,0.759,127.091,3.9348833333333335,2011
2HWWNoWEEEECwZhAiLg7ib,199853,66,0.764,0.751,8,-3.74,1,0.0703,0.00554,0.000237,0.164,0.418,91.977,3.3308833333333334,2007
5R9a4t5t5O0IsznsrKPVro,193213,68,0.426,0.584,1,-5.293,1,0.296,0.0383,0.0,0.188,0.272,193.437,3.2202166666666665,2008
