track_id,duration,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,release_year
6kVuF2PYLuvl9T85XjNbaO,302186,28,0.597,0.8,1,-5.422999999999999,0,0.312,0.0461,0.0,0.18,0.565,155.93200000000002,5.036433333333333,2011
1RGIjMFMgJxkZHMDXVYzOJ,238800,75,0.8320000000000001,0.391,8,-8.504,1,0.0628,0.0564,0.0,0.2239999999999999,0.436,104.961,3.98,2007
1dIWPXMX4kRHj6Dt2DStUQ,161684,76,0.5710000000000001,0.767,2,-5.16,1,0.287,0.336,0.0,0.0809,0.605,93.421,2.694733333333333,2020
4QVS8YCpK71R4FsxSMCjhP,218295,72,0.5479999999999999,0.8390000000000001,6,-2.371,1,0.0644,0.135,0.0,0.102,0.314,98.932,3.63825,2018
7BoobGhD4x5K96Me0hqC8Q,122772,89,0.855,0.4629999999999999,3,-7.454,1,0.0367,0.217,1.77e-05,0.347,0.866,102.931,2.0462,2021
5OKHUpNLi4GEQ0aynz9VLJ,231559,50,0.774,0.8,11,-6.504,0,0.0314,0.259,3.8e-06,0.0888,0.902,113.994,3.8593166666666665,2018
3J8EOeKLTLXORtWPpOU5bE,205458,89,0.907,0.3929999999999999,4,-7.636,0,0.0539,0.451,1.35e-06,0.135,0.2019999999999999,104.949,3.4243,2021
5caZgotE4D6elZpd5S4wlX,125579,70,0.903,0.785,1,-4.709,1,0.322,0.0245,0.0,0.0652,0.823,129.835,2.092983333333333,2021
3VqeTFIvhxu3DIe4eZVzGq,164441,98,0.759,0.4589999999999999,8,-5.187,1,0.0948,0.00323,0.0,0.0906,0.695,109.997,2.740683333333333,2021
4gdx3sBwgfZTZAqxKzQVTA,235733,40,0.782,0.6759999999999999,1,-6.144,1,0.324,0.0078599999999999,1.17e-06,0.141,0.878,158.162,3.928883333333333,2011
1ax4ZAVsA2k1WmlAEiknCH,191573,43,0.7290000000000001,0.868,3,-3.319,1,0.0609,0.00939,0.0,0.283,0.632,124.957,3.192883333333333,2009
6UQreXkBLml4Bv3q3NEUzq,219693,51,0.759,0.833,0,-5.268,1,0.0353,0.155,0.0,0.192,0.599,127.017,3.66155,2010
6uvMKqNlrSvcC4NaKnrwjZ,278085,91,0.883,0.674,11,-8.043,0,0.357,0.21,0.0,0.0678,0.73,141.02,4.63475,2021
