track_id,duration,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,release_year
3jpFzIoJayoMtEHqDakFGb,226413,0,0.327,0.891,7,-4.991,1,0.0692,0.604,0.000278,0.897,0.725,81.372,3.77355,2007
4RahunRYJeJwnh7wYGPdDR,152866,0,0.292,0.698,7,-5.772,1,0.0406,0.251,0.0,0.693,0.368,136.288,2.5477666666666665,2007
4UmehW6tTXGC7HsuIGujMR,226973,0,0.498,0.887,8,-8.344,0,0.0383,0.00392,0.000376,0.209,0.714,139.126,3.7828833333333334,1978
6CK4xXnpKHJQA4YFoQ6Ads,228333,36,0.54,0.82,7,-5.255,1,0.0977,0.0512,0.0,0.0835,0.55,88.469,3.80555,2004
0hrdSZEcjqnNZhoBhcpb0i,248200,35,0.59,0.923,9,-3.311,1,0.0462,0.301,0.0,0.109,0.531,117.984,4.136666666666667,2004
7ChRGXHb05yIp1Sc43d37Z,198560,0,0.409,0.863,3,-6.23,0,0.0363,0.0316,0.0266,0.254,0.665,147.234,3.3093333333333335,1977
6uOnSrDg5Rfgil2zUGdyV0,192333,0,0.511,0.914,1,-5.634,1,0.0598,0.0224,0.0462,0.0995,0.814,131.314,3.20555,1974
6FBmHx1FuaSnTnnnaThgbF,287400,63,0.441,0.908,11,-4.627,0,0.115,0.000183,0.00328,0.0612,0.632,145.439,4.79,1996
5B6Z7NwVqA7W3UFiqBdEJC,265893,66,0.628,0.934,11,-6.026,1,0.0527,0.00682,1.11e-05,0.0852,0.491,126.538,4.43155,1984
71MFFmfNghNbW8n2cYVan3,237306,0,0.459,0.621,6,-6.522,1,0.0271,0.0824,0.0,0.134,0.315,145.597,3.9551,1989
7o2CTH4ctstm8TNelqjb51,354520,84,0.454,0.91,6,-7.766,1,0.0448,0.0866,0.0996,0.116,0.629,125.116,5.908666666666667,1987
53968oKecrFxkErocab2Al,537506,0,0.197,0.629,11,-9.291,1,0.03,0.0165,0.279,0.125,0.221,79.495,8.958433333333334,1991
2C4aYxNpoPkmoZ3ZdPeuOB,336000,0,0.496,0.739,6,-7.193,1,0.0415,0.0211,0.00444,0.106,0.378,132.41,5.6,1991
0EHzXpyi1swR8sMpbVHcLJ,462093,0,0.336,0.787,10,-8.803,0,0.0732,0.0793,0.0648,0.32,0.383,140.003,7.70155,1991
5YbtwNLVaDIbCHYPZ9p3C1,591969,0,0.296,0.928,11,-4.262,1,0.0556,0.00271,0.0021,0.995,0.235,95.426,9.86615,1999
5MxNLUsfh7uzROypsoO5qe,266960,87,0.307,0.433,1,-10.057,1,0.029,0.388,9.08e-05,0.332,0.224,160.9,4.449333333333334,1973
24NwBd5vZ2CK8VOQVnqdxr,274133,73,0.38,0.76,9,-10.961,1,0.0378,0.00298,0.0294,0.104,0.491,99.437,4.568883333333333,1975
3Yls95V4qCzVfR20gr8cOW,308333,0,0.443,0.855,9,-3.674,1,0.0324,0.000192,0.0102,0.353,0.466,105.84,5.138883333333333,1993
6xq2DL1lQGT2G2PEl6NCAL,232733,0,0.195,0.897,6,-4.826,1,0.0837,0.0593,0.889,0.987,0.318,175.696,3.8788833333333335,1999
4VqPOruhp5EdPBeR92t6lQ,304840,76,0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.117,0.411,128.019,5.080666666666667,2009
08NsdynHP1fL9MvmlQMFVn,278760,0,0.556,0.868,4,-4.662,1,0.0472,0.179,0.0,0.317,0.615,126.508,4.646,2010
3aRn4Q8EdXvyUhVNi7925L,203026,30,0.451,0.94,5,-2.797,0,0.0491,0.00732,4.26e-06,0.0776,0.468,93.631,3.383766666666667,2012
6pOhbAauVzqAeZPID9UG4B,221440,0,0.431,0.896,2,-4.317,0,0.0395,0.0015,2.01e-05,0.102,0.683,157.591,3.6906666666666665,2014
10n0G5fcYiulqtFyEi6W9d,219960,0,0.579,0.848,1,-4.955,1,0.0563,0.00235,5.59e-06,0.0532,0.817,124.015,3.666,2014
63LaJsK8YssJJ2sxS6YRzf,214666,36,0.533,0.929,0,-5.249,0,0.0363,0.00108,3.99e-05,0.333,0.478,136.187,3.5777666666666668,1997
13P5rwmk2EsoFRIz9UCeh9,237626,76,0.719,0.671,8,-6.279,1,0.0336,0.0372,8.21e-06,0.12,0.786,130.027,3.9604333333333335,2013
6Mg3w4TsDbo03LDpJ5XVAb,200444,0,0.584,0.871,0,-6.137,1,0.0266,0.00907,0.00032,0.101,0.677,134.941,3.3407333333333336,2013
1WVenL3ZbumvxUGWOtn54r,206993,26,0.506,0.925,6,-2.475,1,0.0328,0.0098,0.163,0.0518,0.673,141.997,3.449883333333333,2010
3tRqWoZuQtOfG54Vd6nNdq,292546,0,0.536,0.73,2,-7.606,0,0.0427,0.0036,0.668,0.183,0.438,97.206,4.875766666666666,2013
4MU57d2wmlrluy3zwFhZIi,229253,2,0.524,0.821,7,-4.499,1,0.0338,0.18,1.05e-05,0.814,0.514,93.937,3.820883333333333,2010
4X8KYUsvr4KB9xBBcVsC5b,249640,0,0.69,0.544,10,-4.285,0,0.0822,0.0019,0.000154,0.0914,0.361,137.511,4.160666666666667,2011
336EjOMJ5bO8FzKCziSY1Q,281325,11,0.607,0.812,0,-5.757,1,0.0499,0.0509,0.000323,0.261,0.285,117.019,4.68875,2015
2RfM3MKoo4BHWTAQsfXRSo,218227,46,0.705,0.78,7,-6.267,1,0.0805,0.456,0.00152,0.115,0.457,142.028,3.6371166666666666,2015
3aHl74ctcELDYWDQvLbKLX,254293,32,0.486,0.449,5,-10.298,1,0.0267,0.166,2.23e-06,0.54,0.549,100.456,4.238216666666666,2015
54b8qPFqYqIndfdxiLApea,218733,74,0.418,0.452,1,-13.099,1,0.0356,0.638,0.00026,0.0959,0.168,175.088,3.64555,1987
7D6xMEUjTkSSldjHBttSlO,356346,0,0.51,0.81,4,-5.445,0,0.0412,0.0774,0.000417,0.208,0.498,114.457,5.9391,2014
0hmWna43a1cEM5pztplSHM,262808,26,0.497,0.811,6,-5.53,0,0.0783,0.0052,0.0,0.112,0.272,143.045,4.380133333333333,2015
4fip7UWzXWW2Yp2D8Yj9aA,255733,0,0.768,0.331,0,-15.038,1,0.0412,0.0116,0.000113,0.0783,0.298,119.19,4.262216666666666,1987
1S3gHMzmpIhUBHIy3msOj3,238493,0,0.536,0.705,11,-4.241,0,0.0452,0.000456,5.48e-06,0.0858,0.454,106.301,3.9748833333333335,2012
5PZK7nZBsKjSkXDszKrJ1W,253306,55,0.557,0.833,10,-4.559,1,0.0663,0.00226,3.25e-06,0.161,0.815,125.205,4.2217666666666664,2005
3bwAS8cN7Xtzvv5UurJOOX,334906,66,0.341,0.662,9,-5.023,0,0.0335,0.105,0.0,0.113,0.2,174.875,5.581766666666667,2002
3YuaBvuZqcwN3CEAyyoaei,293960,78,0.614,0.568,7,-5.477,0,0.0276,0.00797,0.0,0.0997,0.516,107.849,4.899333333333334,2002
2uDwRgwGPjXq0oj0hNCuFc,343400,57,0.329,0.658,9,-5.57,1,0.0373,0.00108,1.56e-06,0.0805,0.288,141.123,5.723333333333334,2002
1Zi2ezNOqt9y9irC11xYpN,215826,59,0.613,0.307,2,-17.385,1,0.0414,0.387,4.52e-06,0.087,0.789,117.305,3.5971,1965
4fPBB44eDH71YohayI4eKV,189226,72,0.63,0.908,11,-2.42,1,0.0326,0.0238,0.592,0.116,0.968,120.522,3.153766666666667,2006
4QeUajTZE6Z7dsSCrQIOaB,348400,0,0.568,0.606,7,-8.233,1,0.0305,0.000482,7.93e-05,0.192,0.331,122.046,5.806666666666667,2004
0LOfec9OwsMAppUtMN1D4a,249306,0,0.539,0.922,2,-3.454,1,0.0438,0.0033,1.88e-06,0.329,0.509,127.94,4.1551,2012
7nreP3GP5VVSxhWn644CNr,271426,0,0.425,0.871,5,-4.549,0,0.168,0.0154,0.0,0.333,0.32,130.434,4.523766666666667,2012
4P3IEjSfODv7Oc54KinmD1,189773,0,0.518,0.83,1,-2.655,1,0.0456,0.0141,6.39e-06,0.215,0.553,130.022,3.1628833333333333,2006
5gorf2jG5uyOTTIZj4G9se,333480,31,0.342,0.826,9,-4.882,0,0.0495,0.116,0.000108,0.281,0.301,187.674,5.558,2009
0e8xde5J25nAYNRRSDiPOw,325533,0,0.328,0.598,2,-10.135,0,0.0379,8.58e-05,0.000179,0.653,0.348,113.337,5.42555,1989
6KOQp3vjvjtamB9N24wSsq,402837,36,0.527,0.926,2,-4.48,0,0.0649,0.0288,0.00272,0.544,0.472,135.033,6.71395,2012
