track_id,duration,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,release_year
7fQtvAc5vaGL7dwHLLHFBL,259734,14,0.445,0.69,1,-4.081,1,0.0334,0.00592,0.212,0.0628,0.417,104.929,4.3289,2022
01G8NxfCzbhrHWlVCMNKvX,219622,33,0.594,0.848,9,-6.496,0,0.0305,0.0803,0.0518,0.112,0.502,105.98,3.6603666666666665,2022
673V6TBp6F7ohL1DZNuy4y,198700,27,0.596,0.693,11,-12.494,0,0.029,0.114,0.773,0.142,0.19,119.998,3.3116666666666665,2021
0W1rLlUxyDT0ocZsYri4vg,285598,8,0.475,0.838,5,-7.057,1,0.0507,0.00019,0.0372,0.118,0.224,139.977,4.759966666666666,2022
1UTyf6OWtDbroEV4RhaRQV,249718,25,0.454,0.829,9,-8.124,1,0.0275,3.67e-05,0.624,0.125,0.292,129.986,4.161966666666666,2022
2rQOfBQl3HgolxwX5NLop5,189681,18,0.51,0.866,2,-5.087,1,0.0424,0.000379,0.0793,0.153,0.189,106.262,3.16135,2022
7fsKWgpcP5avNNWeon35mG,149724,15,0.517,0.95,8,-11.793,1,0.0622,1.1e-05,0.902,0.154,0.0456,147.904,2.4954,2022
34SfDQoNw9P6SUL7GfqAHa,222000,13,0.57,0.999,11,-4.22,0,0.275,0.0484,0.851,0.088,0.0447,119.961,3.7,2022
4rki3pljGeYhvRBtO6MC6D,196000,4,0.617,0.946,1,-8.68,1,0.0299,0.026,0.059,0.103,0.443,120.048,3.2666666666666666,2022
4i4G7e1oWeKnjRT0ze0HIX,227880,8,0.612,0.976,2,-4.102,1,0.0516,0.0577,0.838,0.0753,0.614,124.989,3.798,2022
1sW9MChpw8ZX3MrvAGw3l6,217614,18,0.697,0.73,6,-7.639,1,0.132,0.562,0.000195,0.6,0.573,116.061,3.6269,2021
0STKHQzOf49Bmp1R5CciGk,251285,7,0.635,0.697,7,-7.954,1,0.0293,0.0329,0.228,0.58,0.422,130.008,4.188083333333333,2019
6Iza9gybCERawaJeub50I8,258034,26,0.531,0.635,5,-9.539,1,0.03,0.271,0.775,0.089,0.37,170.013,4.300566666666667,2022
7I0GxMzISrZmARMX1rbxYw,208000,3,0.611,0.657,2,-11.837,0,0.0312,0.201,0.00749,0.0714,0.11,120.04,3.466666666666667,2022
5T3T91tNdJzHW5yH8RLHFH,259547,11,0.444,0.74,10,-7.918,0,0.0605,0.393,0.00872,0.136,0.372,119.927,4.325783333333334,2022
40mTGYyKPJgstzIqweVPfj,207888,32,0.619,0.876,7,-8.847,1,0.0529,0.00296,0.215,0.339,0.767,134.923,3.4648,2022
35d5bZhZhstsBWXZHsKH8l,191308,16,0.482,0.901,8,-8.777,1,0.0415,0.00538,0.0826,0.137,0.433,132.936,3.188466666666667,2022
2LJvSc2suyJF7iAFGSqZTi,308151,9,0.229,0.99,7,-7.104,1,0.147,0.000274,0.438,0.103,0.134,99.06,5.13585,2022
3LDoiSDwByHo2P4lZIuHWd,182809,10,0.395,0.585,7,-12.967,1,0.0462,0.159,0.828,0.0993,0.762,142.041,3.0468166666666665,2021
0QdPGsCKjA4g6pCy2K0FgY,218734,12,0.437,0.953,1,-3.793,1,0.0369,0.000312,0.0842,0.16,0.577,165.026,3.645566666666667,2022
2SVyBtvRcpUyfHCMHFKNhn,239600,23,0.418,0.814,9,-5.143,0,0.031,0.0227,0.925,0.2,0.64,129.933,3.993333333333333,2022
6PxM8HVboITy3ZpZXykM1C,299636,8,0.279,0.787,1,-7.128,0,0.0425,0.00224,0.804,0.051,0.266,164.088,4.993933333333334,2022
2QlmEw6Db63VdBmQWpz8DN,153065,7,0.432,0.921,11,-5.339,0,0.0329,0.0181,0.0,0.328,0.698,85.503,2.551083333333333,2022
0rnVza0djwlK6YLiewXz9W,241318,10,0.489,0.732,3,-10.758,1,0.0554,0.098,0.107,0.0968,0.642,182.023,4.021966666666667,2022
4eUNCwPO83PH272AJmJrjn,191229,12,0.658,0.606,2,-7.074,1,0.0381,0.0563,0.63,0.109,0.57,170.026,3.18715,2022
3rydhN7BMnUjDfPPsBuOyO,213852,19,0.57,0.764,0,-8.448,1,0.0339,0.000916,0.041,0.0944,0.325,132.966,3.5642,2022
4eaVCxw7JTLNlAFmEHZNVN,305109,14,0.318,0.722,9,-6.16,0,0.0355,0.00181,0.209,0.2,0.142,94.898,5.08515,2022
3Anhhfs4iGHYFuf6EufsQb,269751,7,0.147,0.914,7,-3.142,1,0.0674,0.000455,0.123,0.13,0.189,76.989,4.49585,2022
7yxQs9yh8RkE3cGK6typiB,234501,4,0.386,0.859,4,-4.97,0,0.045,0.000114,0.8,0.316,0.569,152.052,3.90835,2021
4r0ZvTM6N3tqT0ZExdpf4s,169127,11,0.743,0.689,1,-9.752,1,0.0393,0.163,0.00994,0.105,0.858,149.01,2.818783333333333,2022
5mTGtG8SYlR7X47sgBYCbp,242312,19,0.435,0.973,4,-5.131,0,0.046,0.000111,0.28,0.319,0.673,106.982,4.0385333333333335,2022
68dtJuSqpkmz2GfNx0uc00,222000,12,0.645,0.529,5,-11.247,0,0.0384,0.000527,0.0122,0.32,0.412,130.02,3.7,2022
3QJ9B4FtUsddf3qmCyvYIy,246753,7,0.516,0.794,7,-7.336,0,0.0367,0.00383,0.00671,0.0524,0.335,110.01,4.11255,2021
0veOwy7EfKjDjRLeBqkFQo,401000,0,0.44,0.881,0,-5.984,1,0.0441,0.00111,0.559,0.101,0.254,132.549,6.683333333333334,1982
7ikqaxy1uOlWudkX8B1NkV,346665,30,0.467,0.764,2,-11.676,1,0.0285,7.62e-05,0.232,0.0896,0.293,184.975,5.77775,2021
7msXRmW3mZK4rbZAUPpHCW,140168,6,0.466,0.891,2,-4.488,1,0.0408,4.48e-05,0.665,0.0701,0.405,89.967,2.336133333333333,2022
